alpha2,alpha3,econ13_macro_f1,classes_alive,crop_macro_f1_flat,flat15_macro_f1,accuracy,kappa,econ13_macro_precision,econ13_macro_recall
0.6,0.8,0.2375,13,0.2009,0.2745,0.7588,0.6032,0.2604,0.2445
0.6,0.858,0.2366,13,0.2006,0.2742,0.7592,0.6036,0.2599,0.2429
0.6,0.9,0.2362,13,0.2005,0.2742,0.7595,0.6038,0.2642,0.2419
0.6,1.0,0.2357,13,0.2008,0.2744,0.7601,0.6043,0.2785,0.24
0.65,0.0,0.2123,13,0.1793,0.2558,0.7215,0.5612,0.2061,0.2554
0.65,0.1,0.2184,13,0.1838,0.2597,0.7341,0.5753,0.2103,0.2563
0.65,0.2,0.224,13,0.1879,0.2633,0.7431,0.5855,0.2154,0.2561
0.65,0.3,0.2286,13,0.1914,0.2663,0.7495,0.5928,0.2209,0.2539
0.65,0.4,0.2328,13,0.1946,0.2691,0.754,0.5978,0.2272,0.2518
0.65,0.45,0.2347,13,0.1962,0.2704,0.7557,0.5997,0.2309,0.2507
0.65,0.5,0.2361,13,0.1975,0.2716,0.7571,0.6013,0.2345,0.2493
0.65,0.55,0.2373,13,0.1987,0.2726,0.7583,0.6025,0.2388,0.2479
0.65,0.552,0.2374,13,0.1987,0.2726,0.7583,0.6026,0.2391,0.2479
0.65,0.6,0.2389,13,0.2002,0.2739,0.7593,0.6036,0.2448,0.247
0.65,0.65,0.2397,13,0.2013,0.2748,0.7601,0.6044,0.251,0.2459
0.65,0.7,0.2398,13,0.2017,0.2752,0.7608,0.6051,0.2548,0.2445
0.65,0.8,0.2394,13,0.2023,0.2757,0.7619,0.6062,0.2649,0.2418
0.65,0.858,0.2387,13,0.202,0.2755,0.7624,0.6066,0.266,0.2402
0.65,0.9,0.2383,13,0.202,0.2755,0.7627,0.6068,0.2708,0.2392
0.65,1.0,0.2377,13,0.2022,0.2757,0.7633,0.6073,0.291,0.2373
0.7,0.0,0.2141,13,0.1809,0.2572,0.7237,0.5629,0.211,0.2521
